 2022-03-25 18:32:48,087 - 'c'
 2022-03-25 18:32:48,196 - 'l'
 2022-03-25 18:32:48,786 - 'e'
 2022-03-25 18:32:48,954 - 'a'
 2022-03-25 18:32:49,034 - 'r'
 2022-03-25 18:32:49,794 - Key.enter
 2022-03-25 18:32:55,033 - 'm'
 2022-03-25 18:32:55,381 - 'o'
 2022-03-25 18:32:55,597 - 'u'
 2022-03-25 18:32:55,771 - 's'
 2022-03-25 18:32:56,033 - 'e'
 2022-03-25 18:32:56,247 - 'p'
 2022-03-25 18:32:56,342 - 'a'
 2022-03-25 18:32:56,654 - 'd'
 2022-03-25 18:32:57,565 - Key.enter
 2022-03-25 18:33:02,189 - 'h'
 2022-03-25 18:33:02,462 - 'e'
 2022-03-25 18:33:02,636 - 'l'
 2022-03-25 18:33:02,752 - 'l'
 2022-03-25 18:33:02,885 - 'o'
 2022-03-25 18:33:03,045 - Key.space
 2022-03-25 18:33:03,565 - 't'
 2022-03-25 18:33:03,764 - 'h'
 2022-03-25 18:33:04,173 - 'i'
 2022-03-25 18:33:04,285 - 's'
 2022-03-25 18:33:04,392 - Key.space
 2022-03-25 18:33:04,522 - 'i'
 2022-03-25 18:33:04,559 - 's'
 2022-03-25 18:33:04,677 - Key.space
 2022-03-25 18:33:05,572 - 'i'
 2022-03-25 18:33:06,034 - 'r'
 2022-03-25 18:33:06,210 - 'f'
 2022-03-25 18:33:06,559 - 'a'
 2022-03-25 18:33:06,767 - 'n'
 2022-03-25 18:33:07,634 - '.'
 2022-03-25 18:33:07,852 - Key.space
 2022-03-25 18:33:08,142 - 't'
 2022-03-25 18:33:08,321 - 'h'
 2022-03-25 18:33:08,618 - 'i'
 2022-03-25 18:33:08,643 - 's'
 2022-03-25 18:33:08,771 - Key.space
 2022-03-25 18:33:08,894 - 's'
 2022-03-25 18:33:08,952 - 'i'
 2022-03-25 18:33:09,021 - Key.space
 2022-03-25 18:33:10,174 - Key.backspace
 2022-03-25 18:33:10,339 - Key.backspace
 2022-03-25 18:33:10,614 - Key.backspace
 2022-03-25 18:33:11,349 - 'i'
 2022-03-25 18:33:11,455 - 's'
 2022-03-25 18:33:11,556 - Key.space
 2022-03-25 18:33:11,704 - 'a'
 2022-03-25 18:33:11,793 - Key.space
 2022-03-25 18:33:12,124 - 't'
 2022-03-25 18:33:12,214 - 'e'
 2022-03-25 18:33:12,422 - 's'
 2022-03-25 18:33:12,501 - 't'
 2022-03-25 18:33:12,639 - Key.space
 2022-03-25 18:33:13,290 - 'f'
 2022-03-25 18:33:13,391 - 'i'
 2022-03-25 18:33:13,566 - 'l'
 2022-03-25 18:33:13,652 - 'e'
 2022-03-25 18:33:38,169 - Key.ctrl
 2022-03-25 18:33:38,413 - 'c'
